date,store_id,sku_id,final_price,promo_depth,promo_flag,baseline_price
2024-03-01,S01,SKU001,10.49,0.0,0,10.49
2024-03-01,S01,SKU002,15.49,0.0,0,15.49
2024-03-01,S01,SKU003,21.99,0.0,0,21.99
2024-03-01,S02,SKU001,10.49,0.0,0,10.49
2024-03-01,S02,SKU002,15.49,0.0,0,15.49
2024-03-01,S02,SKU003,21.99,0.0,0,21.99
2024-03-01,S03,SKU001,10.49,0.0,0,10.49
2024-03-01,S03,SKU002,15.49,0.0,0,15.49
2024-03-01,S03,SKU003,21.99,0.0,0,21.99
2024-03-01,S04,SKU001,10.49,0.0,0,10.49
2024-03-01,S04,SKU002,15.49,0.0,0,15.49
2024-03-01,S04,SKU003,21.99,0.0,0,21.99
2024-03-01,S05,SKU001,10.49,0.0,0,10.49
2024-03-01,S05,SKU002,15.49,0.0,0,15.49
2024-03-01,S05,SKU003,21.99,0.0,0,21.99
2024-03-02,S01,SKU001,9.091333333333333,0.1333333333333334,1,10.49
2024-03-02,S01,SKU002,13.424666666666667,0.13333333333333333,1,15.49
2024-03-02,S01,SKU003,17.592,0.2,1,21.99
2024-03-02,S02,SKU001,9.091333333333333,0.1333333333333334,1,10.49
2024-03-02,S02,SKU002,13.424666666666667,0.13333333333333333,1,15.49
2024-03-02,S02,SKU003,17.592,0.2,1,21.99
2024-03-02,S03,SKU001,9.091333333333333,0.1333333333333334,1,10.49
2024-03-02,S03,SKU002,13.424666666666667,0.13333333333333333,1,15.49
2024-03-02,S03,SKU003,17.592,0.2,1,21.99
2024-03-02,S04,SKU001,9.091333333333333,0.1333333333333334,1,10.49
2024-03-02,S04,SKU002,13.424666666666667,0.13333333333333333,1,15.49
2024-03-02,S04,SKU003,17.592,0.2,1,21.99
2024-03-02,S05,SKU001,9.091333333333333,0.1333333333333334,1,10.49
2024-03-02,S05,SKU002,13.424666666666667,0.13333333333333333,1,15.49
2024-03-02,S05,SKU003,17.592,0.2,1,21.99
2024-03-03,S01,SKU001,10.49,0.0,0,10.49
2024-03-03,S01,SKU002,15.49,0.0,0,15.49
2024-03-03,S01,SKU003,21.99,0.0,0,21.99
2024-03-03,S02,SKU001,10.49,0.0,0,10.49
2024-03-03,S02,SKU002,15.49,0.0,0,15.49
2024-03-03,S02,SKU003,21.99,0.0,0,21.99
2024-03-03,S03,SKU001,10.49,0.0,0,10.49
2024-03-03,S03,SKU002,15.49,0.0,0,15.49
2024-03-03,S03,SKU003,21.99,0.0,0,21.99
2024-03-03,S04,SKU001,10.49,0.0,0,10.49
2024-03-03,S04,SKU002,15.49,0.0,0,15.49
2024-03-03,S04,SKU003,21.99,0.0,0,21.99
2024-03-03,S05,SKU001,10.49,0.0,0,10.49
2024-03-03,S05,SKU002,15.49,0.0,0,15.49
2024-03-03,S05,SKU003,21.99,0.0,0,21.99
2024-03-04,S01,SKU001,10.49,0.0,0,10.49
2024-03-04,S01,SKU002,15.49,0.0,0,15.49
2024-03-04,S01,SKU003,21.99,0.0,0,21.99
2024-03-04,S02,SKU001,10.49,0.0,0,10.49
2024-03-04,S02,SKU002,15.49,0.0,0,15.49
2024-03-04,S02,SKU003,21.99,0.0,0,21.99
2024-03-04,S03,SKU001,10.49,0.0,0,10.49
2024-03-04,S03,SKU002,15.49,0.0,0,15.49
2024-03-04,S03,SKU003,21.99,0.0,0,21.99
2024-03-04,S04,SKU001,10.49,0.0,0,10.49
2024-03-04,S04,SKU002,15.49,0.0,0,15.49
2024-03-04,S04,SKU003,21.99,0.0,0,21.99
2024-03-04,S05,SKU001,10.49,0.0,0,10.49
2024-03-04,S05,SKU002,15.49,0.0,0,15.49
2024-03-04,S05,SKU003,21.99,0.0,0,21.99
2024-03-05,S01,SKU001,10.49,0.0,0,10.49
2024-03-05,S01,SKU002,15.49,0.0,0,15.49
2024-03-05,S01,SKU003,21.99,0.0,0,21.99
